,Link,ID,House,Description,Score,City
0,https://www.booking.com#basiclayout,0,Hôtel Vert,"Situé à 2 km du Mont-Saint-Michel, sur la côte normande, l'Hôtel Vert propose des chambres décorées dans des tons pastel dotées d'une salle de bains privative, d'une télévision ainsi que d'une...","8,1",Mont Saint Michel
1,https://www.booking.com#basiclayout,0,Ambassadeurs Logis Hotel,"Situé sur le front de mer de Saint-Malo, l'Ambassadeurs Logis Hotel vous accueille à 1,5 km du centre-ville et de la gare TGV. ","8,4",St Malo
2,https://www.booking.com#basiclayout,0,Enjoy Bayeux #3 - Old town & WIFI,Hébergement géré par un particulier,10,Bayeux
3,https://www.booking.com#basiclayout,0,Hôtel Le Marignan - Le Havre Centre Gare,"Situé au Havre, à 2,1 km de la plage, L'Hôtel Le Marignan - Le Havre Centre Gare propose un service d'enregistrement et de départ rapides, des chambres pour les personnes souffrant d'allergies, un...","8,0",Le Havre
4,https://www.booking.com#basiclayout,0,"Radisson Blu Hotel, Rouen Centre","Situé à Rouen, le Radisson Blu Hotel, Rouen Centre dispose d'un restaurant servant des plats locaux de haute qualité, d'une salle de sport, d'un bar et d'un salon commun. ","8,9",Rouen
5,https://www.booking.com#basiclayout,0,HotelHome Paris 16,"L'HotelHome Paris 16 est situé dans le XVIème arrondissement de Paris, à 1,5 km du Bois de Boulogne. Il propose des appartements climatisés dotés d'une connexion Wi-Fi gratuite. ","8,5",Paris
6,https://www.booking.com#basiclayout,0,Le Majestic Cathédrale,"Situé à Amiens, à 1,7 km du Zénith, l'établissement Le Majestic Cathédrale propose un salon commun, une connexion Wi-Fi gratuite, une cuisine commune et un service d'étage. ","9,2",Amiens
7,https://www.booking.com#basiclayout,0,Moxy Lille City,"Le Moxy Lille City est situé à Lille, à 700 mètres de la braderie de Lille. Il propose des hébergements avec une terrasse et un parking privé. ","8,6",Lille
8,https://www.booking.com#basiclayout,0,Élégant studio à côté du Parlement * GuestReady *,Hébergement géré par un particulier,"7,8",Strasbourg
9,https://www.booking.com#basiclayout,0,Les Chambres du Haut-Koenigsbourg,"Situé à Orschwiller, en Alsace, l'établissement Les Chambres du Haut-Koenigsbourg propose des hébergements avec connexion Wi-Fi et parking privé gratuits. ","8,8",Chateau du Haut Koenigsbourg
10,https://www.booking.com#basiclayout,0,Le Parc - Standing apartments in front of the Champ de Mars,"Offrant une vue sur la ville et doté d'une connexion Wi-Fi gratuite, l'établissement Le Parc - Standing apartments in front of the Champ de Mars propose des hébergements idéalement situés dans le...","8,6",Colmar
11,https://www.booking.com#basiclayout,0,Auberge du Rempart,"Offrant une vue sur la ville, l'établissement à la gestion familiale Auberge du Rempart est situé dans le centre historique d'Eguisheim, en Alsace, à 100 mètres du marché de Noël de la ville. ","8,7",Eguisheim
12,https://www.booking.com#basiclayout,0,ibis Styles Besançon,Établissement Voyage Durable,"7,9",Besancon
13,https://www.booking.com#basiclayout,0,Hôtel Restaurant initial by balladins Dijon Nord,"Situé à 12 minutes en voiture du centre-ville de Dijon, l'Hôtel Balladins Dijon Nord possède des chambres climatisées avec connexion Wi-Fi gratuite, des salles de réunion et un restaurant. ","7,6",Dijon
14,https://www.booking.com#basiclayout,0,LE MIRAGE - Annecy Centre - Appartement de luxe - V-RENT,Établissement Voyage Durable,"9,0",Annecy
15,https://www.booking.com#basiclayout,0,Esprit Bistrot / Rent4night Grenoble,Hébergement géré par un particulier,"8,3",Grenoble
16,https://www.booking.com#basiclayout,0,Le Moderne au cœur de Montchat,Hébergement géré par un particulier,"7,7",Lyon
17,https://www.booking.com#basiclayout,0,La Bastide du Calalou; BW Signature Collection,Établissement Voyage Durable,"8,4",Gorges du Verdon
18,https://www.booking.com#basiclayout,0,Oustaou di Ercole,Hébergement géré par un particulier,"9,2",Bormes les Mimosas
19,https://www.booking.com#basiclayout,0,Villa ANTINEA,"Située à Cassis, à moins de 1 km de la Grande Mer, la Villa ANTINEA propose une escapade avec un casino, une piscine extérieure, une connexion Wi-Fi gratuite et un centre d'affaires. ","8,0",Cassis
20,https://www.booking.com#basiclayout,0,Maisons du Monde Hôtel & Suites - Marseille Vieux Port,"Surplombant le Vieux-Port, l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port vous accueille au cœur de Marseille. Il propose des chambres modernes et climatisées. ","8,4",Marseille
21,https://www.booking.com#basiclayout,0,TheCamp Hotel&Lodges - Aix en Provence,Établissement Voyage Durable,"8,3",Aix en Provence
22,https://www.booking.com#basiclayout,0,La Maison Grivolas,"Installé à Avignon, à 500 mètres du Palais des papes, La Maison Grivolas propose un jardin, une connexion Wi-Fi gratuite, une cuisine commune et une piscine extérieure. ","9,7",Avignon
23,https://www.booking.com#basiclayout,0,Hôtel Le Saint-Geniès,"Cet hôtel à la gestion familiale est situé au cœur d'un jardin, dans un quartier résidentiel paisible à 1,5 km du centre historique d'Uzès. ","8,9",Uzes
24,https://www.booking.com#basiclayout,0,Royal Hôtel,"Situé au cœur de Nîmes, le Royal Hôtel dispose d'un restaurant sur place, La Bodéguita, qui s'ouvre sur la place Assas. ","8,2",Nimes
25,https://www.booking.com#basiclayout,0,Hotel Canal Aigues Mortes,"L’hôtel Canal Aigues Mortes vous accueille sur les rives du canal, à 5 minutes à pied de la ville fortifiée. Vous pourrez profiter d’une vue sur le canal depuis sa terrasse panoramique et sa piscine. ","8,5",Aigues Mortes
26,https://www.booking.com#basiclayout,0,Mas De Calabrun,"Doté d’une piscine extérieure, d’un terrain de pétanque et d’une table de ping-pong, l’hôtel Mas De Calabrun est installé sur un domaine privé à Saintes-Maries-de-la-Mer, dans le Parc naturel régional...","8,5",Saintes Maries de la mer
27,https://www.booking.com#basiclayout,0,Appartement spacieux avec garage à 100m de la mer,Hébergement géré par un particulier,"7,9",Collioure
28,https://www.booking.com#basiclayout,0,Domaine Le Couvent,Établissement Voyage Durable,"9,4",Carcassonne
29,https://www.booking.com#basiclayout,0,dtente sky lodge,Hébergement géré par un particulier,"9,4",Ariege
30,https://www.booking.com#basiclayout,0,Odalys City Toulouse Centre Compans Caffarelli,Établissement Voyage Durable,"8,7",Toulouse
31,https://www.booking.com#basiclayout,0,Castel Bois Marie,"Situé à Montauban, le Castel Bois Marie propose un restaurant, une piscine extérieure ouverte en saison, un bar et un salon commun. Cette maison d'hôtes 5 étoiles possède un jardin. ","9,5",Montauban
32,https://www.booking.com#basiclayout,0,Hôtel Le Windsor Biarritz,"Entièrement rénové en 2021 et respectueux de l’environnement, l'Hôtel Le Windsor Biarritz est installé côté plage, au cœur de Biarritz. ","8,4",Biarritz
33,https://www.booking.com#basiclayout,0,Hotel Cote Basque,"L'Hotel Cote Basque est situé au cœur de la ville historique de Bayonne, en face du pont Saint-Esprit. Il propose une connexion Wi-Fi gratuite et des chambres avec salle de bains privative. ","7,9",Bayonne
34,https://www.booking.com#basiclayout,0,La Rochelle sur L'eau,"Offrant une vue sur la mer, l'établissement La Rochelle sur L'eau est situé à La Rochelle, à 500 mètres des Minimes. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking privé. ","9,4",La Rochelle
